"varible_name","variable_desc","variable_values","etiquetas_de_valores","frecuencia"
yta2,Trabajos de antes - No asalariados,rango: 4.000-17.000.000,Válidos,"1,171"
ydes,Seguro de desempleo o cesantía,rango: 10.000-8.060.000,Válidos,"924"
yah1,Intereses por depósitos,rango: 83-6.000.000,Válidos,"933"
yah2,Dividendo por acciones o bonos financieros,rango: 167-5.416.667,Válidos,"279"
yrut,Retiro de utilidades,rango: 417-16.666.667,Válidos,"294"
yre2,Arriendos de propiedades agrícolas,rango: 3.333-3.000.000,Válidos,"164"
yre3,Arriendos de propiedades por temporadas,rango: 3.333-2.000.000,Válidos,"281"
yac2,Consumo de productos agrícolas,rango: 83-600.000,Válidos,"3,860"
yids,Indemnizaciones por despido,rango: 917-7.500.000,Válidos,"2,907"
ydon,Donaciones,rango: 500-4.500.000,Válidos,"373"
ydim,Devolución de impuestos,rango: 8-2.916.667,Válidos,"3,863"
yotr,Otros ingresos,rango: 417-5.416.667,Válidos,"350"
yfam,Asignación familiar,rango: 3.184-164.180,Válidos,"7,556"
y2001,Subsidio familiar al menor o recién nacido,rango: 16.418-16.418,Válidos,"7,525"
y2002,Subsidio de asistencia maternal,rango: 164.180-164.180,Válidos,"233"
y2003,Subsidio familiar a la madre,rango: 16.418-16.418,Válidos,"4,870"
y2004,Subsidio familiar por invalidez,rango: 32.836-32.836,Válidos,"582"
y2005,"Subsidio a la discapacidad mental, física o sensorial severa",rango: 96.958-96.958,Válidos,"210"
y2101,Aporte para la Canasta Básica,rango: 10.803-114.080,Válidos,"29,463"
y2201,Bono de Protección Familiar - Meses 1 a 6,rango: 19.582-19.582,Válidos,"397"
y2202,Bono de Protección Familiar - Meses 7 a 12,rango: 14.903-14.903,Válidos,"130"
y2203,Bono de Protección Familiar - Meses 13 a 18,rango: 10.246-10.246,Válidos,"133"
y2204,Bono de Protección Familiar - Meses 19 a 24,rango: 15.597-15.597,Válidos,"72"
y2301,Bono base familiar,rango: 4.910-360.000,Válidos,"302"
y2302,Bono por control del niño sano,rango: 8.000-8.000,Válidos,"544"
y2303,Bono por asistencia escolar,rango: 8.000-8.000,Válidos,"687"
y2401,Subsidio Agua Potable,rango: 1.000-60.000,Válidos,"10,213"
y2501,Aporte familiar permanente (ex bono marzo),rango: 4.393-35.140,Válidos,"14,122"
y2502,Bono por logro escolar,rango: 3.397-5.662,Válidos,"981"
y2503,Bono bodas de oro,rango: 14.750-14.750,Válidos,"1,362"
y2504,Bono de invierno,rango: 5.861-5.861,Válidos,"12,940"
y2505,Subsidio Empleo Joven,rango: 417-44.582,Válidos,"566"
y2506,Bono al trabajo de la mujer,rango: 500-44.582,Válidos,"1,001"
y2507,Ingreso mínimo garantizado,rango: 4.000-71.850,Válidos,"1,071"
y2508p,Número de pagos del IFE Laboral,"1","1 pago","831"
y2508,IFE Laboral,rango: 0-75.000,Válidos,"3,444"
y2509,Subsidio Protege,rango: 16.667-100.000,Válidos,"505"
y2510,Bono Chile Apoya de Invierno,rango: 10.000-100.000,Válidos,"15,908"
y2604,Ingreso Familiar de Emergencia,rango: 8.333-73.917,Válidos,"9,255"
y2701,Otro subsidio del Estado,rango: 833-1.800.000,Válidos,"634"
y2804,Pensión Básica Solidaria de Invalidez,rango: 193.935-193.935,Válidos,"2,424"
y280201,Jubilación o pensión de vejez con APS - Monto contributivo,rango: 3.800-2.200.000,Válidos,"7,889"
y280202,Aporte Previsional Solidario de Vejez,rango: 6.000-500.000,Válidos,"6,150"
y280101,Pensión Garantizada Universal,rango: 193.917-193.917,Válidos,"11,183"
y280301,Jubilación o pensión de vejez con PGU - Monto contributivo,rango: 7.000-1.000.000,Válidos,"2,466"
y280302,Pensión Garantizada Universal - Vejez,rango: 12.000-193.917,Válidos,"2,442"
y2803,Jubilación o pensión de vejez,rango: 20.000-3.500.000,Válidos,"7,188"
yinv0101,Jubilación o pensión de invalidez con APS - Monto contributivo,rango: 20.000-700.000,Válidos,"178"
yinv0102,Aporte Previsional Solidario de Invalidez,rango: 11.500-400.000,Válidos,"117"
yinv02,Jubilación o pensión de invalidez,rango: 50.000-5.000.000,Válidos,"2,202"
ymon0101,Montepío o pensión de viudez con PGU - Monto contributivo,rango: 23.000-1.027.000,Válidos,"366"
ymon0102,Pensión Garantizada Universal - Montepío,rango: 6.000-193.900,Válidos,"357"
ymon02,Montepío o pensión de viudez,rango: 5.450-2.300.000,Válidos,"2,653"
yorf,Pensión de orfandad,rango: 7.500-1.300.000,Válidos,"408"
yesp0101,Pensión por Leyes Especiales de reparación con PGU,rango: 112.180-250.000,Válidos,"13"
yesp0102,Pensión Garantizada Universal - reparación,rango: 20.000-193.000,Válidos,"11"
yesp,Pensión por leyes especiales de reparación,rango: 38.000-1.000.000,Válidos,"580"
yotp,Otro tipo de pensión,rango: 9.493-6.000.000,Válidos,"241"
yaut,Ingreso autónomo,rango: 167-63.500.000,Válidos,"112,553"
ysub1,Subsidios monetarios presentes en 2017,rango: 417-1.814.468,Válidos,"57,821"
ysub2,Nuevos subsidios monetarios,rango: 0-194.259,Válidos,"202,231"
ysub,Subsidios monetarios,rango: 0-1.849.188,Válidos,"202,231"
ytot,Ingreso total,rango: 0-63.740.000,Válidos,"202,231"
y0101h,Asalariados principal - Sueldos y salarios monetario del hogar,rango: 0-25.000.000,Válidos,"202,231"
y0301h,Asalariados principal - Horas extras del hogar,rango: 0-2.600.000,Válidos,"202,231"
y0302h,Asalariados principal - Comisiones del hogar,rango: 0-5.000.000,Válidos,"202,231"
y0303h,Asalariados principal - Propinas del hogar,rango: 0-900.000,Válidos,"202,231"
y0304h,"Asalariados principal - Asignación por vivienda, transporte, educación del hogar",rango: 0-2.009.500,Válidos,"202,231"
y0305h,Asalariados principal - Viáticos no sujetos a rendición del hogar,rango: 0-1.000.000,Válidos,"202,231"
y0306h,Asalariados principal - Otros ingresos monetarios del hogar,rango: 0-6.000.000,Válidos,"202,231"
y0401h,Asalariados principal - Bonificaciones o aguinaldos del hogar,rango: 0-10.500.000,Válidos,"202,231"
y0402h,Asalariados principal - Gratificaciones del hogar,rango: 0-1.666.667,Válidos,"202,231"
y0403h,Asalariados principal - Décimo tercer mes o meses adicionales del hogar,rango: 0-2.666.667,Válidos,"202,231"
y0404h,Asalariados principal - Otros similares monetarios del hogar,rango: 0-2.500.000,Válidos,"202,231"
y0501h,Asalariados principal - Alimentos y bebidas del hogar,rango: 0-640.000,Válidos,"202,231"
y0502h,Asalariados principal - Vales de alimentación del hogar,rango: 0-1.680.000,Válidos,"202,231"
y0503h,Asalariados principal - Vivienda o alojamiento del hogar,rango: 0-1.620.000,Válidos,"202,231"
y0504h,Asalariados principal - Vehículo para uso privado del hogar,rango: 0-13.000.000,Válidos,"202,231"
y0505h,Asalariados principal - Servicio de transporte del hogar,rango: 0-2.560.000,Válidos,"202,231"
y0506h,Asalariados principal - Estacionamiento gratuito del hogar,rango: 0-1.000.000,Válidos,"202,231"
y0507h,Asalariados principal - Teléfono del hogar,rango: 0-1.300.000,Válidos,"202,231"
y0508h,Asalariados principal - Vestimenta del hogar,rango: 0-1.000.000,Válidos,"202,231"
y0509h,Asalariados principal - Servicios de guardería o sala cuna del hogar,rango: 0-600.000,Válidos,"202,231"
y0510h,Asalariados principal - Leña u otro combustible doméstico del hogar,rango: 0-900.000,Válidos,"202,231"
y0511h,Asalariados principal - Bienes o servicios del empleador del hogar,rango: 0-3.000.000,Válidos,"202,231"
y0512h,Asalariados principal - Otros similares en especies del hogar,rango: 0-2.300.000,Válidos,"202,231"
yosah,Ingresos de la ocupación secundaria - Asalariados del hogar,rango: 0-7.000.000,Válidos,"202,231"
y0701h,Independientes principal - Efectivo del hogar,rango: 0-70.000.000,Válidos,"202,231"
y0801h,Independientes principal - Especies del hogar,rango: 0-4.400.000,Válidos,"202,231"
y0901h,Independientes principal - Ventas anuales del hogar,rango: 0-50.166.667,Válidos,"202,231"
yosih,Ingresos de la ocupación secundaria - Independientes del hogar,rango: 0-11.000.000,Válidos,"202,231"
y1101h,"Ingresos del trabajo de FNR, desocupados e inactivos del hogar",rango: 0-6.000.000,Válidos,"202,231"
yre1h,Arriendos de propiedades urbanas del hogar,rango: 0-20.000.000,Válidos,"202,231"
yamah,Arriendo de maquinarias y animales del hogar,rango: 0-50.000.000,Válidos,"202,231"
ymesh,Pensión de alimentos del hogar,rango: 0-5.000.000,Válidos,"202,231"
yfa1h,Dinero de familiares ajenos al hogar - Del país del hogar,rango: 0-7.000.000,Válidos,"202,231"
yfa2h,Dinero de familiares ajenos al hogar - Del extranjero del hogar,rango: 0-9.000.000,Válidos,"202,231"
ytroh,Remuneración por trabajos ocasionales del hogar,rango: 0-6.200.000,Válidos,"202,231"
yta1h,Trabajos de antes - Asalariados del hogar,rango: 0-7.230.000,Válidos,"202,231"
yta2h,Trabajos de antes - No asalariados del hogar,rango: 0-17.000.000,Válidos,"202,231"
ydesh,Seguro de desempleo o cesantía del hogar,rango: 0-8.060.000,Válidos,"202,231"
yah1h,Intereses por depósitos del hogar,rango: 0-6.000.000,Válidos,"202,231"
yah2h,Dividendo por acciones o bonos financieros del hogar,rango: 0-5.416.667,Válidos,"202,231"
yruth,Retiro de utilidades del hogar,rango: 0-16.666.667,Válidos,"202,231"
yre2h,Arriendos de propiedades agrícolas del hogar,rango: 0-3.000.000,Válidos,"202,231"
yre3h,Arriendos de propiedades por temporadas del hogar,rango: 0-2.000.000,Válidos,"202,231"
yac2h,Consumo de productos agrícolas del hogar,rango: 0-600.000,Válidos,"202,231"
yidsh,Indemnizaciones por despido del hogar,rango: 0-7.500.000,Válidos,"202,231"
ydonh,Donaciones del hogar,rango: 0-4.500.000,Válidos,"202,231"
ydimh,Devolución de impuestos del hogar,rango: 0-3.000.000,Válidos,"202,231"
yotrh,Otros ingresos del hogar,rango: 0-5.416.667,Válidos,"202,231"
yfamh,Asignación familiar del hogar,rango: 0-311.942,Válidos,"202,231"
y2001h,Subsidio familiar al menor o recién nacido del hogar,rango: 0-114.926,Válidos,"202,231"
y2002h,Subsidio de asistencia maternal del hogar,rango: 0-328.360,Válidos,"202,231"
y2003h,Subsidio familiar a la madre del hogar,rango: 0-65.672,Válidos,"202,231"
y2004h,Subsidio familiar por invalidez del hogar,rango: 0-98.508,Válidos,"202,231"
y2005h,"Subsidio a la discapacidad mental, física o sensorial severa del hogar",rango: 0-193.916,Válidos,"202,231"
y2101h,Aporte para la Canasta Básica del hogar,rango: 0-228.160,Válidos,"202,231"
y2201h,Bono de Protección Familiar - Meses 1 a 6 del hogar,rango: 0-78.328,Válidos,"202,231"
y2202h,Bono de Protección Familiar - Meses 7 a 12 del hogar,rango: 0-44.709,Válidos,"202,231"
y2203h,Bono de Protección Familiar - Meses 13 a 18 del hogar,rango: 0-40.984,Válidos,"202,231"
y2204h,Bono de Protección Familiar - Meses 19 a 24 del hogar,rango: 0-46.791,Válidos,"202,231"
y2301h,Bono base familiar del hogar,rango: 0-500.000,Válidos,"202,231"
y2302h,Bono por control del niño sano del hogar,rango: 0-32.000,Válidos,"202,231"
y2303h,Bono por asistencia escolar del hogar,rango: 0-32.000,Válidos,"202,231"
y2401h,Subsidio Agua Potable del hogar,rango: 0-60.000,Válidos,"202,231"
y2501h,Aporte familiar permanente (ex bono marzo) del hogar,rango: 0-65.889,Válidos,"202,231"
y2502h,Bono por logro escolar del hogar,rango: 0-16.986,Válidos,"202,231"
y2503h,Bono bodas de oro del hogar,rango: 0-44.250,Válidos,"202,231"
y2504h,Bono de invierno del hogar,rango: 0-29.305,Válidos,"202,231"
y2505h,Subsidio Empleo Joven del hogar,rango: 0-85.000,Válidos,"202,231"
y2506h,Bono al trabajo de la mujer del hogar,rango: 0-86.667,Válidos,"202,231"
y2507h,Ingreso mínimo garantizado del hogar,rango: 0-195.000,Válidos,"202,231"
y2508h,IFE Laboral del hogar,rango: 0-202.500,Válidos,"202,231"
y2509h,Subsidio Protege del hogar,rango: 0-150.000,Válidos,"202,231"
y2510h,Bono Chile Apoya de Invierno del hogar,rango: 0-200.000,Válidos,"202,231"
y2604h,Ingreso Familiar de Emergencia del hogar,rango: 0-75.000,Válidos,"202,231"
y2701h,Otro subsidio del Estado del hogar,rango: 0-1.800.000,Válidos,"202,231"
y2804h,Pensión Básica Solidaria de Invalidez del hogar,rango: 0-581.805,Válidos,"202,231"
y280201h,Jubilación o pensión de vejez con APS del hogar - Monto contributivo,rango: 0-2.600.000,Válidos,"202,231"
y280202h,Aporte Previsional Solidario de Vejez del hogar,rango: 0-772.000,Válidos,"202,231"
y280101h,Pensión Garantizada Universal del hogar,rango: 0-775.668,Válidos,"202,231"
y280301h,Jubilación o pensión de vejez con PGU del hogar - Monto contributivo,rango: 0-1.318.000,Válidos,"202,231"
y280302h,Pensión Garantizada Universal - Vejez del hogar,rango: 0-579.591,Válidos,"202,231"
y2803h,Jubilación o pensión de vejez del hogar,rango: 0-6.500.000,Válidos,"202,231"
yinv0101h,Jubilación o pensión de invalidez con APS del hogar - Monto contributivo,rango: 0-700.000,Válidos,"202,231"
yinv0102h,Aporte Previsional Solidario de Invalidez del hogar,rango: 0-400.000,Válidos,"202,231"
yinv02h,Jubilación o pensión de invalidez del hogar,rango: 0-5.000.000,Válidos,"202,231"
ymon0101h,Montepío o pensión de viudez con PGU del hogar - Monto contributivo,rango: 0-1.027.000,Válidos,"202,231"
ymon0102h,Pensión Garantizada Universal - Montepío del hogar,rango: 0-386.000,Válidos,"202,231"
ymon02h,Montepío o pensión de viudez del hogar,rango: 0-2.300.000,Válidos,"202,231"
yorfh,Pensión de orfandad del hogar,rango: 0-1.300.000,Válidos,"202,231"
yesp0101h,Pensión por Leyes Especiales de Reparación con PGU del hogar,rango: 0-250.000,Válidos,"202,231"
yesp0102h,Pensión Garantizada Universal - Reparación del hogar,rango: 0-193.000,Válidos,"202,231"
yesph,Pensión por leyes especiales de reparación del hogar,rango: 0-1.000.000,Válidos,"202,231"
yotph,Otro tipo de pensión del hogar,rango: 0-9.000.000,Válidos,"202,231"
yauth,Ingreso autónomo del hogar,rango: 0-76.500.000,Válidos,"202,231"
ysub1h,Subsidios monetarios del hogar presentes en 2017 del hogar,rango: 0-1.814.468,Válidos,"202,231"
ysub2h,Nuevos subsidios monetarios del hogar,rango: 0-275.773,Válidos,"202,231"
ysubh,Subsidios monetarios del hogar,rango: 0-1.849.188,Válidos,"202,231"
yaimh,Alquiler imputado del hogar,rango: 0-14.000.000,Válidos,"202,231"
ytoth,Ingreso total del hogar,rango: 0-77.300.000,Válidos,"202,231"
y0101c,Asalariados principal - Sueldos y salarios monetario corregido,rango: 8.000-25.000.000,Válidos,"59,853"
y0701c,Independientes principal - Efectivo corregido,rango: 1.500-40.000.000,Válidos,"22,431"
y280201c,Jubilación o pensión de vejez con APS - Monto contributivo - corregido,rango: 3.800-2.200.000,Válidos,"8,262"
y280301c,Jubilación o pensión de vejez con PGU - Monto contributivo - corregido,rango: 7.000-1.000.000,Válidos,"2,503"
y2803c,Jubilación o pensión de vejez corregido,rango: 20.000-3.500.000,Válidos,"7,508"
yautcor,Ingreso autónomo corregido,rango: 167-63.500.000,Válidos,"115,217"
ytotcor,Ingreso total corregido,rango: 0-63.740.000,Válidos,"202,231"
y0101ch,Asalariados principal - Sueldos y salarios monetario corregido del hogar,rango: 0-25.000.000,Válidos,"202,231"
y0701ch,Independientes principal - Efectivo corregido del hogar,rango: 0-70.000.000,Válidos,"202,231"
y280201ch,Jubilación o pensión de vejez con APS del hogar - Monto contributivo - corregido,rango: 0-2.600.000,Válidos,"202,231"
y280301ch,Jubilación o pensión de vejez con PGU del hogar - Monto contributivo - corregido,rango: 0-1.318.000,Válidos,"202,231"
y2803ch,Jubilación o pensión de vejez corregido del hogar,rango: 0-6.500.000,Válidos,"202,231"
yautcorh,Ingreso autónomo corregido del hogar,rango: 0-76.500.000,Válidos,"202,231"
yaimcorh,Alquiler imputado corregido del hogar,rango: 0-14.000.000,Válidos,"202,231"
ytotcorh,Ingreso total corregido del hogar,rango: 0-77.300.000,Válidos,"202,111"
ymonecorh,Ingreso total corregido del hogar sin alquiler imputado para cálculo de pobreza,rango: 0-76.500.000,Válidos,"202,231"
no_arrienda,Situación de arrendamiento para asignación de líneas de pobreza,"0",Vivienda arrendada,"43,493"
nae,Número de adultos equivalentes,"rango: 1,0-6,0",Válidos,"202,231"
yae,Ingreso por adulto equivalente,rango: 0-39.507.424,Válidos,"202,111"
li,Línea de indigencia,rango: 143.570-211.350,Válidos,"202,231"
lp,Línea de pobreza,rango: 215.355-317.026,Válidos,"202,231"
pobreza,Situación de pobreza por ingresos,"1",Pobreza extrema,"19,831"
yae_2013,Ingreso por adulto equivalente (metodología 2013),rango: 0-40.114.994,Válidos,"202,111"
li_2013,Línea de indigencia (metodología 2013),rango: 144.566-144.566,Válidos,"202,231"
lp_2013,Línea de pobreza (metodología 2013),rango: 216.849-216.849,Válidos,"202,231"
pobreza_2013,Situación de pobreza por ingresos (metodología 2013),"1",Pobreza extrema,"4,657"
